,DBA,BORO,BUILDING,STREET,CUISINE DESCRIPTION,Latitude,Longitude,SCORE,GRADE,RECORD DATE
252204,NICE MATIN,Manhattan,201,WEST   79 STREET,American,40.783244357926,-73.978554358542,7.0,A,02/16/2020
234090,CAFE RIAZOR,Manhattan,245,WEST   16 STREET,Spanish,40.740439115543,-74.000025260594,12.0,A,02/16/2020
231943,ARMANI RISTORANTE,Manhattan,717,5TH AVE,Italian,40.762128138951,-73.97456148539099,12.0,A,02/16/2020
234357,FIAT CAFE,Manhattan,203,MOTT STREET,Italian,40.721431530121,-73.995548192983,9.0,A,02/16/2020
230478,WORLD YACHT PRINCESS,Manhattan,0,PIER   81,American,40.762185805839,-74.00330661264499,13.0,A,02/16/2020
229705,ABIGAIL'S KITCHEN,Manhattan,85,MACDOUGAL STREET,French,40.728911096409,-74.001414347632,9.0,A,02/16/2020
240247,ROSE & JADE BARS,Manhattan,2,LEXINGTON AVENUE,American,40.738308277497,-73.985616357496,10.0,A,02/16/2020
237918,ANYTIME SOJU,Manhattan,23,W 32ND ST,Korean,40.747508809168,-73.986332562507,12.0,A,02/16/2020
236107,GREENWICH STREET TAVERN,Manhattan,399,GREENWICH ST,American,40.720852031490004,-74.010036320129,26.0,B,02/16/2020
372131,LA SALLE DUMPLING ROOM,Manhattan,3141,BROADWAY,Chinese,40.813911818270995,-73.959596058573,12.0,A,02/16/2020
368102,Banquet Kitchen,Manhattan,455,MADISON AVE,American,40.758107248990996,-73.975393238921,13.0,A,02/16/2020
361432,GREENWICH VILLAGE COMEDY CLUB,Manhattan,99,MACDOUGAL STREET,American,40.729495736509996,-74.00092005567,17.0,B,02/16/2020
361374,UVA,Manhattan,1486,2 AVENUE,Italian,40.77232744295,-73.95577270848601,9.0,A,02/16/2020
392432,PATRICK'S,Manhattan,259,W 42ND ST,American,40.756909901767,-73.98901613290201,11.0,A,02/16/2020
392339,THE CORE CLUB,Manhattan,60,EAST   55 STREET,American,40.760683949315,-73.972619989504,13.0,A,02/16/2020
382666,BOSIE,Manhattan,506,LAGUARDIA PL,French,40.727604594791,-73.99935417539899,12.0,A,02/16/2020
384169,MALIBU FARM,Manhattan,89,SOUTH ST,American,40.705857736005,-74.003769082082,0.0,P,02/16/2020
319652,NICOLA'S RESTAURANT,Manhattan,146,EAST   84 STREET,Italian,40.777990009752,-73.956130002968,13.0,A,02/16/2020
343245,NYU - TORCH CLUB,Manhattan,18,WAVERLY PL,American,40.730192780552,-73.994537337601,2.0,A,02/16/2020
74530,KOKO SEAFOOD SALAD & GRILL,Manhattan,92,NAGLE AVE,Spanish,40.860518283043,-73.927688820366,12.0,A,02/16/2020
45772,VERO WINE BAR,Manhattan,1483,2ND AVE,Italian,40.772176534201,-73.955910003658,19.0,B,02/16/2020
16977,XING WONG BBQ,Manhattan,89,E BROADWAY,Chinese,40.713748839149,-73.993727069175,31.0,C,02/16/2020
145586,PASTIS,Manhattan,54,GANSEVOORT ST,French,40.739379422906,-74.007007898756,2.0,A,02/16/2020
